OriginalTweet,Sentiment
RT AGHuff The Truth About Wuhan reading covid  TikTokThank you ⁦nicmoneypenny⁩  httpst.cowvBfJdBOLr,Positive
RT AlecLace Fauci today said Myocarditis from the CovidVaccines is RAREHe also told you if you got Covid after vaccination it was a…,Positive
RT nfscspeaks “21 million people don’t just disappear.”Joy Newball a former educator is shocked to learn about the disappearance of…,Negative
RT nfscspeaks “Claiming it and giving it the label ‘CCP virus’ is very good.”Joy Newball a former educator agrees that the CCP virus…,Positive
RT nfscspeaks “Diligent resilient and passionate.”These are the words Joy Newball a former educator associates with the New Federa…,Positive
RT nfscspeaks They've committed crimes against humanity.Joy Newball a former educator talking about the Chinese Communist Party.…,Positive
RT ProtectPatient5 BBCLauraK not a word about Covid except in the past tense Could be the reason for the NHS problems. If 120 have i…,Negative
RT keetmuise Repeat after meI Will Never Support Repeatedly  Infecting ChildrenWith Covid. Ever.BringBackMasks COVID19 covid C…,Positive
OSU Study Finds CBGA And CBDA Block COVID19 Virus CBGa  httpst.colcnRSc63pJ CBDa CBN THC Health CannabisLegal,Negative
RT UncleHo89 Quote people who have 2 CovidVaccines are covid free” how incompetent do you have to be to make such a statement thail…,Positive
